arena,enemy-1,enemy-2,result,target-note,misc-note
ashamane,restoration druid,havoc demon hunter,won,,
ashamane,holy paladin,feral druid,won,devin blew up feral,
tol'viron,assassination rogue,marksmanship hunter,won,killed rogue,"wait for rogue, smoke bomb defensive"
ashamane,restoration druid,assassination rogue,lost,,blind broke
mugambala,holy paladin,arms warrior,lost,,
ruins,subtlety rogue,fire mage,lost,,knocked out of stealth
robodrome,holy paladin,feral druid,won,deleted feral again,these two are just bad
mugambala,assassination rogue,fire mage,won,,
robodrome,discipline priest,assassination rogue,won,killed priest,"lots of resets, i almost died"
robodrome,holy paladin,havoc demon hunter,won,killed paladin,trained _after_ bubble-martyr
hook point,holy paladin,assassination rogue,won,killed rogue,two dead rogues
blades edge,discipline priest,assassination rogue,lost,killed rogue,"devin died,lost 1v1 to disc :("
tol'viron,shadow priest,assassination rogue,won,killed rogue,blind priest after health swap
robodrome,discipline priest,assassination rogue,lost,went for priest,not enough pressure on priest
hook point,holy paladin,havoc demon hunter,lost,,devin died
ruins,restoration druid,survival hunter,won,killed druid,"forced bear during vendetta, kidney+wheel when he panic-tree'd"
mugambala,holy paladin,assassination rogue,lost,couldn't kill rogue,"repentances went off, not enough pressure"
dalaran sewer,mistweaver monk,unholy death knight,won,killed monk,got a full blind on DK and one chaos bolt was enough
ashamane,mistweaver monk,havoc demon hunter,lost,,"went in, didnt wait for engage or dampening"
ashamane,holy paladin,assassination rogue,won,killed rogue,"got shadowsight, immediately deleted rogue"
mugambala,discipline priest,windwalker monk,lost,,devin killed himself with karma
ruins,discipline priest,assassination rogue,lost,,latency
dalaran sewer,destruction warlock,elemental shaman,lost,,i was outlaw :/
tol'viron,discipline priest,assassination rogue,lost,,
nagrand,havoc demon hunter,fury warrior,won,,
tol'viron,arcane mage,balance druid,won,killed druid,sap on druid
hook point,holy paladin,arms warrior,won,killed warrior,LOTs of control
dalaran sewer,holy paladin,havoc demon hunter,won,killed paladin,double-bolt into kidney
hook point,restoration druid,unholy death knight,won,killed druid,deleted
ashamane,discipline priest,assassination rogue,lost,,it be like that
ruins,discipline priest,assassination rogue,won,killed priest,priest went away from LoS stuff
mugambala,discipline priest,assassination rogue,lost,,fuck sap openers
ruins,discipline priest,assassination rogue,won,,
black rook,holy paladin,destruction warlock,won,killed destro,good chain CC on paladin
